Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
5	21	1006.2	1010.4	--	--	--	22.8	27.6	19.3	62	49	3.9	6.5	南	11.1	南南西	11.8	--	--	晴	晴後一時薄曇	
5	22	1005.9	1010.1	13.5	11.5	5.0	20.8	29.6	15.2	71	48	4.1	9.7	北西	14.7	北東	7.2	--	--	曇後雨	曇時々雨	
5	23	1013.4	1017.7	7.0	2.5	1.0	15.6	18.3	12.8	66	48	2.6	4.3	東北東	8.0	北東	0.0	--	--	曇時々雨	雨	
5	24	1014.0	1018.3	20.5	4.5	1.0	14.6	18.1	12.2	71	52	2.4	4.4	北東	7.8	北西	3.2	--	--	雨後晴	薄曇後一時晴	
5	25	1013.7	1018.0	--	--	--	18.7	23.8	12.9	55	28	2.6	5.5	南	9.4	南南東	11.3	--	--	薄曇一時晴	曇	
5	26	1017.1	1021.4	0.0	0.0	0.0	19.3	22.3	16.1	65	49	2.4	5.0	南東	8.0	南東	1.6	--	--	曇	曇時々雨	
5	27	1015.4	1019.7	1.0	0.5	0.5	18.8	20.6	17.1	69	53	2.2	4.3	南	7.8	南	0.0	--	--	曇一時雨	雨時々曇	
5	28	1010.7	1015.0	24.0	4.0	1.0	18.4	19.7	17.1	88	85	2.0	4.6	北北西	7.0	北北西	0.0	--	--	雨	雨	
5	29	1002.4	1006.7	69.5	12.5	3.5	18.0	19.1	16.2	88	85	2.3	5.4	北東	11.1	北東	0.0	--	--	大雨	大雨	
5	30	992.4	996.7	14.0	4.0	2.5	17.4	21.7	16.1	70	51	4.2	8.2	北北東	17.7	北東	1.3	--	--	雨後曇	曇	
